Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
EiP_Probe_2425.pdf;126045;Heinz;Schmitz;467;"04.02.2025 15:26";Probeklausur/EiP_Probe_2425.pdf
EiP_Probe_2425.py;3849;Heinz;Schmitz;170;"04.02.2025 15:26";Probeklausur/EiP_Probe_2425.py
EiP_Aufgabensammlung.pdf;173423;Heinz;Schmitz;2749;"24.10.2024 16:23";Unterlagen_für_Vorlesung_und_Übungen/EiP_Aufgabensammlung.pdf
EiP_Installationsdokument.pdf;544520;Heinz;Schmitz;669;"04.10.2024 15:52";Unterlagen_für_Vorlesung_und_Übungen/EiP_Installationsdokument.pdf
EiP_Skript.pdf;916258;Heinz;Schmitz;1298;"04.10.2024 15:52";Unterlagen_für_Vorlesung_und_Übungen/EiP_Skript.pdf
EiP-Woche.pdf;119044;Heinz;Schmitz;570;"04.10.2024 15:52";Unterlagen_für_Vorlesung_und_Übungen/EiP-Woche.pdf
EiP.zip;1144772;Heinz;Schmitz;361;"04.10.2024 15:52";Unterlagen_für_Vorlesung_und_Übungen/EiP.zip
